,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc45,0,0,0,0,0,0,0,1,0,0,7,https://stackoverflow.com/questions/59099870/while-using-openapi-braid-for-generating-api-for-my-corda-project-its-showing-so
Doc46,0,0,0,0,0,0,0,0,0.25,0.74,9,https://stackoverflow.com/questions/59097794/how-do-i-get-the-transaction-timestamp-from-a-block
Doc47,0.71,0,0,0,0,0.08,0.08,0,0,0.12,0,https://stackoverflow.com/questions/59096367/is-there-any-way-to-make-a-specific-information-on-blockchain-can-only-be-querie
Doc48,0.25,0,0,0.69,0,0,0.05,0,0,0,3,https://stackoverflow.com/questions/59095178/global-variables-in-javascript-and-how-to-return-variables-from-then-javascrip
Doc49,0.11,0,0,0,0,0,0.87,0,0,0,6,https://stackoverflow.com/questions/59092469/how-to-login-ethereum-account-by-privatekey-via-web3
Doc50,0.14,0.03,0.01,0.07,0,0.75,0,0,0,0,5,https://stackoverflow.com/questions/59089178/hypelerdger-indy-node-seed-value
Doc51,0,0.17,0.5,0,0,0.11,0,0,0.06,0.15,2,https://stackoverflow.com/questions/59084817/need-of-admin-for-the-first-time-in-blockchain
Doc52,0,0,0,0,0,0,0,0,1,0,8,https://stackoverflow.com/questions/59083970/unable-to-update-batchtimeout-in-orderer-configuration
Doc53,0,0.04,0,0.96,0,0,0,0,0,0,3,https://stackoverflow.com/questions/59082832/how-to-sign-bitcoin-psbt-with-ledger
Doc54,0,0,0.06,0,0,0.51,0,0.13,0,0.28,5,https://stackoverflow.com/questions/59073653/is-there-anyway-to-reduce-funds-confirmation-timing-in-coinpayments-api
Doc55,0,0.33,0.53,0.03,0,0,0,0.1,0,0,2,https://stackoverflow.com/questions/59071631/composer-card-import-error-return-required-file-not-found-connection-json
Doc56,0.39,0,0,0,0.23,0,0,0.11,0,0.26,0,https://stackoverflow.com/questions/59069877/how-to-reliably-observe-state-updates-in-the-corda-node
Doc57,0,0,0.18,0,0,0,0,0.3,0.43,0.08,8,https://stackoverflow.com/questions/59065967/use-hyperledger-fabric-cli-for-production
Doc58,0,0,0,0.26,0,0,0,0.4,0,0.35,7,https://stackoverflow.com/questions/59063378/bitcoin-full-node-showing-weird-transaction-in-some-blocks
Doc59,0,0,0,0.74,0,0,0,0,0,0.25,3,https://stackoverflow.com/questions/59058683/test-if-first-two-bits-of-hash-are-both-1
Doc60,0,0,0,0.28,0,0,0,0,0,0.71,9,https://stackoverflow.com/questions/59054025/add-creator-name-to-a-block
Doc61,0,0,0,0,0,0.4,0,0.48,0,0.1,7,https://stackoverflow.com/questions/59051114/corda-duplicate-attachment-exception
Doc62,0,0,0.36,0.03,0,0.17,0.44,0,0,0,6,https://stackoverflow.com/questions/59048312/can-we-use-solidity-with-nodejs
Doc63,0.4,0,0,0,0,0,0,0.59,0,0,7,https://stackoverflow.com/questions/59045687/how-to-set-current-user-in-azure-blockchain-workbench-through-rest-api
Doc64,0,0,0,0.52,0,0,0,0.48,0,0,3,https://stackoverflow.com/questions/59045006/how-to-get-the-notification-when-the-vaultstate-has-updated-in-corda
Doc65,0,0.12,0,0,0.12,0,0.09,0,0.67,0,8,https://stackoverflow.com/questions/59037804/hyperledger-fabric-v1-4-4-instantiating-smart-contract-on-mychannel-with-error
Doc66,0,0,0,0,0,0,0,0,0,0.99,9,https://stackoverflow.com/questions/59029207/how-to-calculate-blockchain-transaction-fee
Doc67,0,0,0,0,0.37,0.12,0.37,0.06,0.08,0,4,https://stackoverflow.com/questions/59024670/cant-find-package-building-go-ethereum
Doc68,0,0.02,0,0,0.96,0.01,0,0.01,0,0,4,https://stackoverflow.com/questions/59013215/node-gyp-fails-during-installation-web3-scrypt6-0-3-install-node-gyp-rebuild
Doc69,0,0,0.45,0.1,0.14,0.31,0,0,0,0,2,https://stackoverflow.com/questions/59012154/substrate-how-to-integrate-with-the-session-module
Doc70,0.11,0,0,0.34,0,0,0,0.22,0,0.33,3,https://stackoverflow.com/questions/59011410/bitcoin-scripts-with-data-after-november-2019-bitcoin-cash-hard-fork
Doc71,0.17,0,0,0.73,0,0,0.1,0,0,0,3,https://stackoverflow.com/questions/59001729/solidity-unexpected-response
Doc72,0,0,0.22,0,0.17,0.24,0.21,0.15,0,0,5,https://stackoverflow.com/questions/58945183/trying-to-integrate-corda-r3-blockchain-with-an-utimaco-hsm-using-the-sunpkcs11
Doc73,0,0,0.94,0.05,0,0,0,0,0,0,2,https://stackoverflow.com/questions/58948910/can-we-create-non-fungible-tokens-with-hyperledger
Doc74,0.14,0,0,0.53,0,0.17,0.16,0,0,0,3,https://stackoverflow.com/questions/58940476/how-to-get-trc20-transactions-to-an-address
Doc75,0.13,0,0,0,0,0.86,0,0,0,0,5,https://stackoverflow.com/questions/58936447/looking-for-a-project-that-allow-me-to-create-my-own-blockchain
Doc76,0,0,0.37,0,0.06,0,0.56,0,0,0,6,https://stackoverflow.com/questions/58934814/deploy-2-raspberrypis-on-test-network-and-link-them-to-a-smart-contract
Doc77,0,0,0.11,0.28,0,0,0.56,0,0.04,0,6,https://stackoverflow.com/questions/58931560/how-to-generate-eos-address-or-username-in-nodejs
Doc78,0,0,0.95,0,0,0,0,0,0,0.04,2,https://stackoverflow.com/questions/58930149/notarized-documents-with-hyperledger-indy
Doc79,0.03,0,0,0,0,0,0,0.95,0,0,7,https://stackoverflow.com/questions/58913107/configure-esplora-to-point-to-the-bitcoind-servers-ip-address
Doc80,0.53,0,0,0.16,0,0,0.01,0,0,0.29,0,https://stackoverflow.com/questions/58911944/how-to-decrypt-in-blockchain
Doc81,0,0,0.12,0,0.44,0.14,0.29,0,0,0,4,https://stackoverflow.com/questions/58891229/i-am-trying-to-install-web3-module-through-npm
Doc82,0.19,0,0.66,0,0,0.15,0,0,0,0,2,https://stackoverflow.com/questions/58889992/key-differences-between-hyperledger-aries-and-hyperledger-indy
Doc83,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/58888309/indy-node-installation-issue-in-ubuntu
Doc84,0.61,0.08,0.21,0,0.07,0,0.03,0,0,0,0,https://stackoverflow.com/questions/58882942/blockchain-based-database-for-storing-simple-records
Doc85,0,0.47,0,0,0.16,0,0,0.36,0,0,1,https://stackoverflow.com/questions/58882580/oan-aion-staking-pool-putting-blocksigner-in-a-docker-container
Doc86,0.58,0,0.42,0,0,0,0,0,0,0,0,https://stackoverflow.com/questions/58882523/decentralised-identity-management
Doc87,0,0,0,0,0.15,0.28,0.35,0,0,0.2,6,https://stackoverflow.com/questions/58879002/which-node-packages-are-used-for-ethereum-classics-etc-transaction-implementa
Doc88,0.04,0,0,0.78,0.11,0,0.07,0,0,0,3,https://stackoverflow.com/questions/58875909/accessing-variable-value-initialized-in-one-function-from-another-function-in-so
Doc89,0,0,0.54,0,0.1,0,0,0.35,0,0,2,https://stackoverflow.com/questions/58874550/errorcomposer-runtime-is-not-compatible-with-client
Doc90,0,0,0,0,0,0,0.17,0.23,0,0.59,9,https://stackoverflow.com/questions/58873774/bitcoin-cash-transaction-history-api
Doc91,0.08,0,0.78,0.05,0,0.09,0,0,0,0,2,https://stackoverflow.com/questions/58864054/what-are-self-sovereign-identities
Doc92,1,0,0,0,0,0,0,0,0,0,0,https://stackoverflow.com/questions/58857766/hyperledger-indy-validator-info-basic-explanation
Doc93,0,0,0.42,0.04,0.04,0.16,0.33,0,0,0,2,https://stackoverflow.com/questions/58833175/deploy-smart-contract-on-blockchain-only-using-evm-api-without-using-geth-or-tuf
Doc94,0.23,0,0,0,0.05,0.49,0,0.22,0,0,5,https://stackoverflow.com/questions/58834969/how-can-i-configure-a-database-in-the-node-conf-file-using-corda-rpc
Doc95,0,0,0,0,0.44,0.5,0,0,0.05,0,5,https://stackoverflow.com/questions/58816736/error-ts5056-cannot-write-file-because-it-would-be-would-be-overwritten
Doc96,0,0,0.27,0.12,0.22,0,0.27,0,0,0.11,2,https://stackoverflow.com/questions/58813375/error-3080006transaction-took-too-long-in-eosio-blockchain
Doc97,0.11,0,0,0.81,0.05,0,0,0,0,0.03,3,https://stackoverflow.com/questions/58813334/hash-does-not-change-even-when-data-set-is-changed-to-another-value
Doc98,0,0,0.06,0,0.03,0.11,0.59,0.19,0,0,6,https://stackoverflow.com/questions/58798505/geth-getting-0-tether-on-local-getbalance
Doc99,0,0,0,0.23,0,0,0,0,0,0.77,9,https://stackoverflow.com/questions/58781970/is-it-always-possible-to-find-a-nonce-for-target-hash
Doc100,0.07,0,0.11,0,0.07,0.21,0,0,0,0.54,9,https://stackoverflow.com/questions/58774207/pbft-consensus-algorithm-and-double-spending
Doc101,0.33,0.16,0.05,0,0,0.32,0,0,0,0.14,0,https://stackoverflow.com/questions/58772666/key-differences-between-amazon-managed-blockchain-and-quantum-ledger-database-q
Doc102,0,0.74,0,0,0,0.09,0.06,0,0,0.11,1,https://stackoverflow.com/questions/58771491/performance-metrics-on-amazon-managed-blockchain
Doc103,0.39,0,0.44,0,0,0,0,0.06,0,0.11,2,https://stackoverflow.com/questions/58763769/how-to-use-intel-sgx-platform-services-with-hyperledger-sawtooth
Doc104,0,0.79,0,0.19,0,0,0,0,0,0,1,https://stackoverflow.com/questions/58761837/configuring-events-on-the-amazon-managed-blockchain
Doc105,0,0,0,0.57,0.22,0.2,0,0,0,0,3,https://stackoverflow.com/questions/58760218/ipfs-return-file-url
Doc106,0,0,0,0.8,0.06,0,0,0,0,0.14,3,https://stackoverflow.com/questions/58736950/how-to-sign-bitcoin-cash-raw-transaction
Doc107,0.49,0,0,0,0,0,0,0,0,0.5,9,https://stackoverflow.com/questions/58730835/what-conventional-databases-can-we-use-to-store-blockchain-data-or-cant-we
Doc108,0.77,0,0,0.03,0,0,0,0,0,0.2,0,https://stackoverflow.com/questions/58717631/trust-establishment-of-iot-device-in-private-blockchain
Doc109,0,0.42,0,0,0.07,0.07,0,0.39,0.05,0,1,https://stackoverflow.com/questions/58714243/using-docker-to-setup-tendermint-testnet-and-establishing-communication-between
Doc110,0.08,0,0,0,0,0.1,0.42,0.34,0,0.06,6,https://stackoverflow.com/questions/58699845/is-it-secure-to-use-web3-library-into-client-fronted-application
Doc111,0,0,0,0.62,0.27,0,0,0,0.1,0,3,https://stackoverflow.com/questions/58691954/sort-filed-is-not-working-in-golang-chaincode-of-hyperledger-fabric
Doc112,0.1,0,0,0,0,0.15,0,0,0.75,0,8,https://stackoverflow.com/questions/58610741/how-to-restrict-access-to-peer-chaincode-upgrade-to-specific-organisation
Doc113,0,0,0,0.33,0,0,0,0.06,0,0.61,9,https://stackoverflow.com/questions/58608285/getting-a-list-of-keys-from-block-0
Doc114,0,0,0,0.43,0,0.07,0.22,0,0,0.27,3,https://stackoverflow.com/questions/58597560/fetch-sender-details-for-bitcoin-transaction
Doc115,0.07,0,0,0.85,0,0,0,0.05,0,0.03,3,https://stackoverflow.com/questions/58587240/bitcoin-in-bigquery-blockchain-analytics-on-public-data-wrong-ommited-results
Doc116,0.22,0,0.38,0,0,0,0,0,0,0.39,9,https://stackoverflow.com/questions/58576860/how-confidentiality-between-2-identities-belonging-to-same-node-but-sharing-data
Doc117,0,0,0.3,0,0,0,0.68,0,0,0,6,https://stackoverflow.com/questions/58573316/smart-contract-dataset-on-blocckhain
Doc118,0,0,0,0,0.83,0,0,0.15,0,0,4,https://stackoverflow.com/questions/58572297/npm-unable-to-install-scrypt-node-gyp-rebuild
Doc119,0.44,0,0,0.41,0.02,0,0.12,0,0,0,0,https://stackoverflow.com/questions/58570902/how-to-store-a-hash-of-some-data-in-a-currently-publicly-available-blockchain
Doc120,0,0.31,0.33,0,0.02,0,0,0,0.34,0,8,https://stackoverflow.com/questions/58556812/how-many-chaincodes-are-required-for-3-organizations-hyperledger-network
Doc121,0,0,0.29,0,0,0.28,0.41,0,0,0,6,https://stackoverflow.com/questions/58550759/how-to-create-an-account-with-a-specific-private-key
Doc122,0,0,0,0.19,0.11,0.12,0.29,0,0,0.29,6,https://stackoverflow.com/questions/58550296/why-is-transaction-marked-as-invalid
Doc123,0.17,0.02,0,0,0,0.11,0,0.7,0,0,7,https://stackoverflow.com/questions/58530712/sia-daemon-api-connection-refused
Doc124,0,0,0,0.08,0.13,0,0.31,0,0,0.47,9,https://stackoverflow.com/questions/58519310/what-might-be-the-cause-for-a-transaction-that-doesnt-go-through-in-volta-testn
Doc125,0.08,0,0.4,0,0,0,0,0,0.43,0.09,8,https://stackoverflow.com/questions/58505221/restrict-access-to-channel-to-selected-users-within-organization
Doc126,0,0,0.24,0.27,0,0.12,0.12,0,0,0.24,3,https://stackoverflow.com/questions/58503793/how-do-i-check-whether-there-is-amount-of-money-in-monero-wallet-using-json-rpc
Doc127,0,0,0,0,0,0,0.99,0,0,0,6,https://stackoverflow.com/questions/58492605/callling-deployed-contract-xyz-public-payable-function-from-deployed-contract-ab
Doc128,0.51,0.07,0,0,0,0.13,0.04,0,0.23,0.03,0,https://stackoverflow.com/questions/58487129/how-to-organize-nodes-of-the-hyperledger-fabrik-network
Doc129,0,0.35,0,0,0,0,0,0,0.55,0.08,8,https://stackoverflow.com/questions/58475858/how-to-add-an-endorsing-peer-in-hyperledger-fabric
Doc130,0.55,0,0,0,0,0,0,0,0.43,0,0,https://stackoverflow.com/questions/58469653/malicious-actors-in-hyperledger-fabric
Doc131,0.02,0.68,0,0,0,0.07,0,0,0.18,0.05,1,https://stackoverflow.com/questions/58452379/choose-only-endorsing-peers-when-performing-query-transaction-node-sdk
Doc132,0,0.16,0,0,0,0,0,0.26,0.57,0,8,https://stackoverflow.com/questions/58449815/rpc-error-code-unavailable-desc-transport-is-closing
Doc133,0,0.45,0,0,0,0,0,0,0.55,0,8,https://stackoverflow.com/questions/58446720/panic-unable-to-bootstrap-orderer-error-reading-genesis-block-file-open-etc
Doc134,0.14,0.53,0,0,0.23,0,0.1,0,0,0,1,https://stackoverflow.com/questions/58438580/how-to-set-environment-variables-for-ethereum-indexer-using-git-bash
Doc135,0,0.06,0,0.37,0,0.27,0.29,0,0,0,3,https://stackoverflow.com/questions/58436940/error-invalid-tuple-value-with-post-or-get-using-web3-js
Doc136,0.09,0,0.68,0,0.17,0,0,0,0.06,0,2,https://stackoverflow.com/questions/58425431/what-is-slot-in-blockchain
Doc137,0,0,0,0.22,0.18,0,0,0,0,0.59,9,https://stackoverflow.com/questions/58258635/how-satoshi-is-programmed
Doc138,0.36,0,0.09,0.54,0,0,0,0,0,0,3,https://stackoverflow.com/questions/58257723/amount-based-sorting
Doc139,0,0,0,0.13,0,0,0.01,0,0.87,0,8,https://stackoverflow.com/questions/58252316/cant-go-through-writing-your-first-application-tutorial-with-java-chaincode-wit
Doc140,0,0.22,0,0,0,0,0,0.19,0.58,0,8,https://stackoverflow.com/questions/58251106/error-while-starting-fabric-network-1-4-ailed-to-create-deliver-client-ordere
Doc141,0.42,0,0,0,0,0,0.04,0.53,0,0,7,https://stackoverflow.com/questions/58229644/in-corda-flow-tests-how-to-get-the-modularized-cordapps-assigned-only-to-the-re
Doc142,0,0,0,0.55,0,0,0,0,0.13,0.31,3,https://stackoverflow.com/questions/58224505/can-we-customize-the-transaction-type-or-prepend-some-code-format-to-block-in-th
Doc143,0,0.19,0.36,0,0.05,0,0,0.2,0.14,0.05,2,https://stackoverflow.com/questions/58216083/the-business-network-didnt-upgrade-on-ibm-cloud
Doc144,0,0,0,0,0.24,0,0.17,0.22,0.03,0.34,9,https://stackoverflow.com/questions/58211870/error-only-support-send-transaction-with-ipc-when-create-a-transaction-in-tomo
Doc145,0,0,0.26,0,0,0.48,0.08,0.16,0,0,5,https://stackoverflow.com/questions/58204671/do-i-need-an-account-or-api-key-to-use-ipfs
Doc146,0,0,0,0.59,0,0,0.41,0,0,0,3,https://stackoverflow.com/questions/58196689/insufficient-funds-for-gas-price-value-in-java-error
Doc147,0.85,0,0,0,0,0,0,0,0,0.14,0,https://stackoverflow.com/questions/58194060/what-did-permissioned-blockchain-solve
Doc148,0,0,0,0,0.36,0,0,0.63,0,0,7,https://stackoverflow.com/questions/58181861/how-to-run-corda-nodes-individually-without-running-runnodes
Doc149,0.03,0,0.04,0,0.07,0,0.19,0.62,0,0.05,7,https://stackoverflow.com/questions/58165772/error-while-connecting-to-local-ganache-instance-with-web3-js
Doc150,0,0,0,0.38,0,0,0.07,0.54,0,0,7,https://stackoverflow.com/questions/58161862/net-corda-serialization-internal-amqp-illegalcustomserializerexception-during-th
Doc151,0,0.08,0,0,0,0,0.04,0.86,0,0,7,https://stackoverflow.com/questions/58157809/aws-blockchain-template-error-on-stack-creation
Doc152,0,0,0,0,0,0,0.29,0.19,0,0.52,9,https://stackoverflow.com/questions/58154997/parallel-transaction-blockchaon-causing-replacement-error-or-nonce-too-low-error
Doc153,0,0.1,0,0,0,0,0,0.41,0,0.47,9,https://stackoverflow.com/questions/58147607/where-is-the-request-from-light-client-sent-to-in-blockchain-network
Doc154,0,0,0,0,0,0,0,0,1,0,8,https://stackoverflow.com/questions/58142379/hyperledger-fabric-version-1-4-the-tutorials-section-writing-your-first-applic
Doc155,0,1,0,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/58116969/hyperledger-explorer-not-all-peers-are-shown-in-explorer
Doc156,0,0.08,0,0,0,0,0,0.76,0.14,0,7,https://stackoverflow.com/questions/58111892/what-are-the-advantages-of-hyperledger-fabric-over-client-server-model
Doc157,0,0,0.09,0,0.07,0,0,0,0.22,0.62,9,https://stackoverflow.com/questions/58099298/can-i-use-hyperledger-fabric-for-real-time-application
Doc158,0,0.24,0,0,0,0,0,0,0.76,0,8,https://stackoverflow.com/questions/58096949/in-byfn-for-hyperledger-fabric-which-files-we-need-to-update-the-name-of-org-i
Doc159,0.04,0.42,0.3,0,0,0,0,0,0.11,0.13,1,https://stackoverflow.com/questions/58095705/reconnection-of-sawtooth-validator-after-loosing-network
Doc160,0.13,0.02,0.46,0,0,0,0.09,0.3,0,0,2,https://stackoverflow.com/questions/58093991/does-the-crypto-wallet-exodus-reveal-your-ip-address
Doc161,0,0,0,0.02,0.8,0,0,0,0.16,0,4,https://stackoverflow.com/questions/58090376/how-to-use-proguard-with-hyperledger-iroha
Doc162,0,0.08,0,0,0.4,0.26,0,0.25,0,0,4,https://stackoverflow.com/questions/58082870/sawtooth-supply-chain-bin-sh-1-bin-splice-json-permission-denied
Doc163,0,0,0,0,0.08,0,0.81,0.1,0,0,6,https://stackoverflow.com/questions/58071723/issue-deploying-smart-contract-from-remix-to-azure-blockchain-error
Doc164,0,0,0.32,0,0,0,0.58,0,0,0.09,6,https://stackoverflow.com/questions/58069633/exchange-erc20-token-with-other-erc20-token
Doc165,0,0,0,0,0.32,0.2,0.46,0,0,0,6,https://stackoverflow.com/questions/58063062/truffle-suite-with-typeerror-soljson-cwrap-is-not-a-function
Doc166,0,0,0,0,0,0,0.94,0,0,0.05,6,https://stackoverflow.com/questions/58060579/sending-ether-from-one-account-to-other-account
Doc167,0,0,0.31,0,0.39,0,0,0,0.29,0,4,https://stackoverflow.com/questions/58038301/createpeeradmincard-sh-not-taking-full-path
Doc168,0,0,0,0,0.48,0,0.22,0.17,0,0.12,4,https://stackoverflow.com/questions/58007404/how-can-we-deploy-our-updated-new-cordapp-on-running-node-without-stopping-node
Doc169,0,0.11,0,0,0.03,0,0,0.04,0,0.81,9,https://stackoverflow.com/questions/57992487/how-to-search-a-specific-transaction-in-all-blocks-quickly
Doc170,0.54,0,0.09,0,0,0,0,0,0,0.37,0,https://stackoverflow.com/questions/57970328/the-concept-of-building-a-blockchain-app-without-transaction
Doc171,0.08,0,0,0.78,0,0,0.04,0,0.1,0,3,https://stackoverflow.com/questions/57963494/when-writing-chaincode-on-fabric-am-i-limited-to-the-functions-defined-by-the-c
Doc172,0.12,0,0,0.3,0.07,0,0.35,0,0,0.14,6,https://stackoverflow.com/questions/57954560/how-to-get-sender-bitcoin-address-from-transaction-id
Doc173,0.43,0,0.38,0,0,0.12,0.06,0,0,0,0,https://stackoverflow.com/questions/57953918/create-an-azure-blockchain-workbench-resource-in-ad-b2c-not-in-ad
Doc174,0,1,0,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/57950250/how-to-add-new-consortium-to-existing-running-network-hyperledger-fabric
Doc175,0.78,0,0,0,0,0,0.21,0,0,0,0,https://stackoverflow.com/questions/57946086/adding-and-retrieving-data-into-from-blockchain-via-web-interfaces
