,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc38,0,0,0.06,0,0,0.14,0,0,0.37,0.43,9,https://stackoverflow.com/questions/53667170/cost-of-running-a-blockchain-network
Doc39,0,0,0,0,0.32,0.33,0,0,0,0.35,9,https://stackoverflow.com/questions/53667112/where-is-block-stored-in-hyperledger-fabric-v1-3
Doc40,0,0,0.04,0,0.79,0,0,0.16,0,0,4,https://stackoverflow.com/questions/53664791/connecting-to-a-hyperledger-fabric-ca-server-using-an-endpoint-device
Doc41,0,0,0.95,0,0,0,0,0.05,0,0,2,https://stackoverflow.com/questions/53658094/hyperledger-fabrics-channelcreationpolicy
Doc42,0,0,0,0,0,0,0,0.97,0,0,7,https://stackoverflow.com/questions/53657168/include-amount-in-blockchain-receiving-api
Doc43,0.27,0,0,0,0,0,0,0.19,0.52,0,8,https://stackoverflow.com/questions/53650978/geth-account-new-could-not-decrypt-key-with-given-passphrase
Doc44,0,0.18,0.81,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/53653092/how-can-we-define-the-roles-in-the-hyperleedger-fabric
Doc45,0,0,0,0,0.1,0.39,0,0.47,0,0.04,7,https://stackoverflow.com/questions/53641603/how-hyperledger-sawtooth-take-care-of-infinite-endless-loops
Doc46,0,0,0,0.05,0,0,0,0.22,0.72,0,8,https://stackoverflow.com/questions/53642125/how-do-you-create-an-ethereum-wallet-in-c-sharp-directly
Doc47,0,0,0,0,0,0.3,0,0,0,0.69,9,https://stackoverflow.com/questions/53636212/how-to-read-data-from-the-block-chain
Doc48,0.38,0.16,0,0,0.45,0,0,0,0,0,4,https://stackoverflow.com/questions/53631224/how-to-use-hyperledger-composer-node-sdk
Doc49,0.25,0,0,0,0,0,0,0,0.2,0.55,9,https://stackoverflow.com/questions/53630749/how-to-use-mongodb-with-tendermint
Doc50,0,0,0,0,0.27,0.04,0,0,0,0.67,9,https://stackoverflow.com/questions/53630298/where-does-hyperledger-sawtooth-store-its-ledger
Doc51,0,0.69,0,0.3,0,0,0,0,0,0,1,https://stackoverflow.com/questions/53630226/how-to-initialize-empty-array-in-stuct-solidity
Doc52,0,0,0,0,0,0.4,0,0,0,0.6,9,https://stackoverflow.com/questions/53629856/blockchain-hyperledger-sawtooth-data-management
Doc53,0,0,0,0,0,0.91,0,0.08,0,0,5,https://stackoverflow.com/questions/53626336/what-if-2-3-of-the-validators-are-malicious-in-tendermint-and-a-fraudlent-transa
Doc54,0,0,0,0,0,0.03,0,0.36,0.61,0,8,https://stackoverflow.com/questions/53612115/gas-issue-on-sendrawtransaction-on-the-rinkeby-network
Doc55,0,0,0.23,0,0.68,0,0.08,0,0,0,4,https://stackoverflow.com/questions/53609717/hyperledger-fabric-network-setup
Doc56,0,0,0,0,0,0,0,0.68,0,0.31,7,https://stackoverflow.com/questions/53597827/can-multiple-key-value-pairs-be-inserted-in-a-single-tx-in-tendermint
Doc57,0,0,0,0.55,0,0,0.45,0,0,0,3,https://stackoverflow.com/questions/53567150/contract-killed-but-receive-ether
Doc58,0,0,0,0,0,0,0,0,0.99,0,8,https://stackoverflow.com/questions/53556331/is-there-any-way-to-delete-the-vault-states-in-corda-node-in-dev-mode
Doc59,0,0.16,0,0,0.04,0.59,0,0.1,0.07,0.03,5,https://stackoverflow.com/questions/53555231/why-tensorflow-code-take-high-gpu-memory-and-low-gpu-util-compute-and-crypto-mi
Doc60,0,0,0,0.57,0,0,0.18,0,0.12,0.11,3,https://stackoverflow.com/questions/53553868/return-private-value-from-contract
Doc61,0,0,0,0,0,0,0,0,0.22,0.77,9,https://stackoverflow.com/questions/53552606/how-to-query-transaction-on-hyperledger-sawtooth
Doc62,0.01,0,0.55,0,0.07,0,0,0,0,0.37,2,https://stackoverflow.com/questions/53539603/how-should-i-setup-channels-and-orgs-in-hyperledger-fabric
Doc63,0,0,0.66,0,0,0.1,0,0,0,0.23,2,https://stackoverflow.com/questions/53538647/can-i-query-hyperledger-fabric-ledger-or-update-ledger-without-chaincode-in-peer
Doc64,0,0,0,0,0.13,0.67,0,0.06,0,0.13,5,https://stackoverflow.com/questions/53536721/what-is-the-role-of-consensus-algorithm-in-hyperledger-blockchain-network-how-d
Doc65,0.04,0.02,0,0.05,0,0,0,0.88,0,0,7,https://stackoverflow.com/questions/53534454/how-to-work-with-elliptic-curve-secp256k1-key-in-azure-key-vault-when-the-key-is
Doc66,0.97,0,0,0,0,0,0,0,0,0,0,https://stackoverflow.com/questions/53535273/zk-snarks-library-in-javascript
Doc67,0.19,0,0,0.65,0,0,0,0,0.15,0,3,https://stackoverflow.com/questions/53533173/react-native-returns-promise
Doc68,0.72,0,0,0,0,0,0,0,0.27,0,0,https://stackoverflow.com/questions/53519497/how-to-install-yarn-to-fix-the-dependency-issue-in-the-local-repo
Doc69,0,0.24,0,0,0,0.76,0,0,0,0,5,https://stackoverflow.com/questions/53530326/cant-understand-sha256-in-blockchaining
Doc70,0,0,0,0,0.46,0,0,0,0.54,0,8,https://stackoverflow.com/questions/53517439/connecting-hyperledger-sawtooth-client-to-a-hyperledger-sawtooth-validator-on-a
Doc71,0.05,0.07,0,0,0,0.31,0,0,0.33,0.23,8,https://stackoverflow.com/questions/53517341/how-should-i-start-learning-code-of-any-cryptocurrency
Doc72,0,0,0.65,0,0.24,0.1,0,0,0,0,2,https://stackoverflow.com/questions/53515776/error-generating-hyperledger-fabric-network-v-1-2
Doc73,0,0.01,0.12,0.09,0.09,0,0,0.61,0,0.08,7,https://stackoverflow.com/questions/53515642/transaction-processor-function-how-can-i-know-when-data-is-commited-endorsed
Doc74,0,0,0,0,0.5,0,0,0,0.49,0,4,https://stackoverflow.com/questions/53502926/how-to-run-the-aion-kernel-script
Doc75,0.05,0,0,0,0.52,0,0,0.42,0,0,4,https://stackoverflow.com/questions/53498275/seth-rpc-error-alias-not-found-in-key-directory-even-though-alias-created-in-s
Doc76,0,0,0,0,0.8,0,0,0,0.19,0,4,https://stackoverflow.com/questions/53488584/deploy-bna-file-to-docker
Doc77,0,0.05,0.65,0,0,0.07,0.16,0,0,0.07,2,https://stackoverflow.com/questions/53485662/how-organizations-are-connected-in-hyperledger
Doc78,0.14,0,0,0,0,0,0,0.12,0.74,0,8,https://stackoverflow.com/questions/53482856/how-to-inject-metamask-using-nethereum-using-asp-net
Doc79,0.08,0,0,0.48,0,0,0.44,0,0,0,3,https://stackoverflow.com/questions/53481468/how-to-solve-the-security-errors-in-tokens-erc223
Doc80,0.32,0,0.52,0,0,0,0,0,0,0.15,2,https://stackoverflow.com/questions/53480426/tls-handshake-failed-with-error-tls-first-record-does-not-look-like-a-tls-hands
Doc81,0,0,1,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/53475110/hyperledger-fabric-network-on-multiple-machines-nodes
Doc82,0,0,0.33,0,0.09,0,0,0,0,0.57,9,https://stackoverflow.com/questions/53455659/how-to-retrieve-the-database-in-hyperledger-fabric
Doc83,0,0,0.02,0,0,0.26,0,0,0.72,0,8,https://stackoverflow.com/questions/53447337/i-have-connected-two-notes-using-bootnode-in-ethereum-private-blockchain-but-min
Doc84,0.05,0,0,0,0.14,0,0,0,0,0.8,9,https://stackoverflow.com/questions/53442551/where-does-hyperledger-fabric-store-the-database-for-the-blockchain-and-where-do
Doc85,0,0,0.04,0.61,0.29,0,0.05,0,0,0,3,https://stackoverflow.com/questions/53442142/hyperledger-fabric-chaincode-error-cannot-refer-to-unexported-name-shim-succes
Doc86,0,0,0,0,0.5,0,0,0,0,0.49,4,https://stackoverflow.com/questions/53441908/how-to-start-supplychain-management-project
Doc87,0,0,0,0,0.33,0,0.29,0.04,0,0.34,9,https://stackoverflow.com/questions/53417115/what-is-the-difference-between-hyperledger-sawtooth-core-and-hyperledger-sawtoot
Doc88,0,0,0.1,0,0,0,0.04,0,0,0.85,9,https://stackoverflow.com/questions/53410393/hyperledger-fabric-iot-use-case
Doc89,0.21,0.15,0,0.06,0.16,0,0.34,0,0.07,0,6,https://stackoverflow.com/questions/53408632/code-not-compiling-in-nodejs-throws-out-an-unexpected-errorweb3-js
Doc90,0,0,0.43,0,0.55,0,0,0,0,0,4,https://stackoverflow.com/questions/53399678/tunafish-with-multi-organization-fabric-nw
Doc91,0,0.03,0,0,0,0.16,0,0,0,0.81,9,https://stackoverflow.com/questions/53389668/blockchain-ledger-storage
Doc92,0.41,0,0,0,0.35,0.04,0,0.19,0,0,0,https://stackoverflow.com/questions/53382483/hyperledger-sawtooth-marketplace-rest-api-404-error
Doc93,0,0,0.03,0.67,0,0,0,0.22,0,0.07,3,https://stackoverflow.com/questions/53375791/invokechaincode-returning-protos-response
Doc94,0.08,0.18,0,0,0.23,0,0,0,0,0.5,9,https://stackoverflow.com/questions/53369399/hyperledger-composer-ipfs-storj-and-front-end-compatibility
Doc95,0,0,0.01,0.09,0,0,0.17,0.07,0.39,0.27,8,https://stackoverflow.com/questions/53359646/how-to-add-smart-contract-functionality-in-php
Doc96,0,0.23,0,0,0,0.07,0,0,0,0.69,9,https://stackoverflow.com/questions/53352832/how-to-indicate-if-utxo-is-already-spent-without-examining-the-entire-blockchai
Doc97,0.1,0,0,0.2,0,0.14,0,0.49,0,0.05,7,https://stackoverflow.com/questions/53347353/unable-to-access-api-from-react-and-node-through-proxy
Doc98,0.45,0.2,0,0,0,0,0.34,0,0,0,0,https://stackoverflow.com/questions/53344487/how-to-create-ethereum-withdrawal-system-on-a-site
Doc99,0.86,0,0,0.07,0,0.02,0,0,0,0.05,0,https://stackoverflow.com/questions/53342582/how-can-i-connect-multichain-node-with-app
Doc100,0,0,0,0,0.57,0,0,0,0,0.4,4,https://stackoverflow.com/questions/53340750/is-there-any-alternative-to-intels-poet-in-hyperledger-sawtooth
Doc101,0.07,0,0.65,0,0.18,0,0,0,0,0.11,2,https://stackoverflow.com/questions/53324477/hyperledger-fabric-docker-compose-core-peer-gossip-bootstrap
Doc102,0,0.38,0,0,0,0.05,0,0,0.57,0,8,https://stackoverflow.com/questions/53318027/opentimestamps-java-nullpointerexception-when-trying-to-deserialize-ots-file
Doc103,0,0,0,0,0,0.14,0,0.61,0,0.24,7,https://stackoverflow.com/questions/53316609/corda-problem-while-executing-flow-with-multiple-output-states
Doc104,0,0,0,0,0.31,0,0,0,0,0.67,9,https://stackoverflow.com/questions/53312221/hyperledger-fabric-databases-relational-nosql
Doc105,0,0,0,0,0.87,0,0,0,0,0.12,4,https://stackoverflow.com/questions/53306961/using-hyperledger-composer-on-oracle-autonomous-blockchain-service
Doc106,0,0,0,0,0,1,0,0,0,0,5,https://stackoverflow.com/questions/53306224/how-can-you-verify-that-a-blockchain-dlt-has-not-been-tampered-with
Doc107,0.01,0.25,0,0,0,0,0,0.61,0.01,0.11,7,https://stackoverflow.com/questions/53301837/cordapp-java-heap-space-error-and-javax-net-ssl-sslexception
Doc108,0,0.09,0.17,0,0.36,0.1,0,0,0.14,0.15,4,https://stackoverflow.com/questions/53301415/node-js-or-go-for-hyperledger-fabrics-chaincode-development
Doc109,0,0,0.68,0,0,0.04,0,0,0,0.27,2,https://stackoverflow.com/questions/53294116/in-a-single-organization-of-hyperledger-i-want-to-create-a-multiple-channels-wit
Doc110,0.06,0,0,0,0,0.2,0,0.31,0.27,0.15,7,https://stackoverflow.com/questions/53290663/generating-enode-on-private-ethereum-blockchain
Doc111,0,0,0.04,0,0,0.2,0.19,0,0.56,0,8,https://stackoverflow.com/questions/53286748/aion-faucet-for-test-coins
Doc112,0.05,0,0.1,0,0.08,0,0,0,0.08,0.68,9,https://stackoverflow.com/questions/53283993/hyperledger-fabric-an-org-can-only-see-some-details-of-the-transaction
Doc113,0.18,0.26,0,0.56,0,0,0,0,0,0,3,https://stackoverflow.com/questions/53275299/how-to-decode-stellar-xdr
Doc114,0,0,0,0,0,0,0.34,0,0.04,0.61,9,https://stackoverflow.com/questions/53268623/private-network-in-quorum
Doc115,0.63,0,0,0.26,0,0,0.11,0,0,0,0,https://stackoverflow.com/questions/53268261/solidity-event-not-being-called
Doc116,0.15,0,0,0,0,0,0,0.07,0.31,0.47,9,https://stackoverflow.com/questions/53262788/what-blockchain-projects-run-in-native-mobile-apps-what-are-the-challenges-in
Doc117,0,0,0,0.07,0,0,0.3,0,0.62,0,8,https://stackoverflow.com/questions/53260666/neo-gui-execution-terminated-in-fault-state
Doc118,0.48,0,0.02,0.01,0.02,0.03,0,0,0.45,0,0,https://stackoverflow.com/questions/53259966/web3-givenprovider-returns-null
Doc119,0,0,0,0,0.77,0,0,0.19,0.04,0,4,https://stackoverflow.com/questions/53258924/unable-to-start-a-validator-node-in-hyperledger-sawtooth-docker-unable-to-valid
Doc120,0.05,0.02,0,0,0,0,0,0,0,0.92,9,https://stackoverflow.com/questions/53251645/storing-data-persistently-on-ipfs
Doc121,0,0,0,0,0,0,0,0,0,0.99,9,https://stackoverflow.com/questions/53169489/ocean-protocol-decentralized-big-data-sharing-and-artificial-intelligence
Doc122,0,0.23,0,0.09,0,0.53,0,0.05,0.09,0,5,https://stackoverflow.com/questions/53168023/using-the-gpu-power-in-javascript
Doc123,0.16,0,0,0.74,0,0.01,0.08,0,0,0,3,https://stackoverflow.com/questions/53166904/send-signed-transaction-from-nodejs-to-private-smartcontract-using-webjs-in-quor
Doc124,0,0.06,0.02,0.08,0,0.33,0,0,0.44,0.06,8,https://stackoverflow.com/questions/53165469/ropsten-ethereum-not-showing-transaction-information
Doc125,0,0.15,0,0,0,0.84,0,0,0,0,5,https://stackoverflow.com/questions/53159583/how-can-i-estimate-the-length-of-proof-of-work-based-on-data-size
Doc126,0.57,0,0,0,0.43,0,0,0,0,0,0,https://stackoverflow.com/questions/53157936/npm-install-error-after-uninstalling-hyperledger-composer-blockchain
Doc127,0,0.37,0,0.53,0,0,0,0,0.1,0,3,https://stackoverflow.com/questions/53155633/how-to-dynamically-set-attribute-in-web3-eth-sendtransaction
Doc128,0,0.02,0.1,0,0.03,0.01,0,0,0,0.84,9,https://stackoverflow.com/questions/53152348/data-storage-within-hyperledger
Doc129,0,0,0,0,0,0,0,0,0.97,0,8,https://stackoverflow.com/questions/53148778/how-to-publish-a-dapp-from-superblocks
Doc130,0.26,0,0,0.14,0,0.07,0.28,0,0.25,0,6,https://stackoverflow.com/questions/53135401/deploy-solidity-contract-with-c-sharp
Doc131,0.6,0,0,0.14,0,0.25,0,0,0,0,0,https://stackoverflow.com/questions/53116497/function-parameters-with-node-js-promise
Doc132,0,0.05,0.02,0,0,0.11,0,0,0.5,0.32,8,https://stackoverflow.com/questions/53109753/how-much-does-it-cost-to-exchange-100-usd-for-eurs-on-stellar-network
Doc133,0,0.08,0,0,0.11,0,0.02,0.03,0,0.76,9,https://stackoverflow.com/questions/53100024/blockchain-as-a-database-for-training-certifications
Doc134,0,0.2,0,0.29,0,0,0.33,0,0.17,0,6,https://stackoverflow.com/questions/53083582/mainnet-deploying-array-of-addresses-as-constructor-parameter-in-remix-solidity
Doc135,0,0,0.04,0,0,0,0.05,0,0,0.9,9,https://stackoverflow.com/questions/53077649/how-permissioned-private-blockchain-is-differ-from-centralised-system
Doc136,0.01,0.01,0.01,0.01,0.12,0.01,0.24,0.01,0.01,0.6,9,https://stackoverflow.com/questions/53066788/difference-between-ethermint-and-burrow
Doc137,0.17,0.12,0,0.3,0,0,0.16,0.07,0.05,0.13,3,https://stackoverflow.com/questions/53060455/how-to-pass-array-in-react-js-inside-render
Doc138,0,0,0,0,0,0.05,0.94,0,0,0,6,https://stackoverflow.com/questions/53048790/view-into-the-source-code-of-an-ethereum-smart-contract
Doc139,0,0.02,0,0.52,0,0,0.45,0,0,0,3,https://stackoverflow.com/questions/53018406/how-to-use-a-payable-function-with-a-erc20-token-with-web3-v1
Doc140,0,0,0,0,0,0.52,0,0,0.23,0.23,5,https://stackoverflow.com/questions/53004445/how-parity-ethereum-with-pruning-fast-handle-ancient-snapshots
Doc141,0,0,0,0,0,0,0,0,0,0.99,9,https://stackoverflow.com/questions/52995543/how-can-blockchains-like-steem-store-large-amounts-of-content
Doc142,0,0,0,0,0,0,0,0.09,0.29,0.61,9,https://stackoverflow.com/questions/52994467/is-it-possible-to-store-images-on-the-ethereum-blockchain
Doc143,0.69,0.08,0.02,0,0,0,0,0.1,0,0.1,0,https://stackoverflow.com/questions/52987236/how-to-get-notifications-in-user-applications
Doc144,0,0,0,0,0,1,0,0,0,0,5,https://stackoverflow.com/questions/52976982/how-is-a-fake-chain-handled-in-bitcoin
Doc145,0.04,0.08,0.86,0,0,0,0,0.03,0,0,2,https://stackoverflow.com/questions/52968760/hyperledger-with-spring-boot-readfromssl-error-on-channel-initialization
Doc146,0.33,0,0,0.17,0,0.49,0,0,0,0,5,https://stackoverflow.com/questions/52968093/unhandledpromiserejectionwarning-referenceerror-getblockheight-is-not-defined
Doc147,0,0.07,0,0,0,0.06,0,0,0.19,0.67,9,https://stackoverflow.com/questions/52956460/any-way-to-track-speed-efficiency-of-contact-form-submission
Doc148,0.04,0.14,0,0,0,0.52,0.1,0,0,0.2,5,https://stackoverflow.com/questions/52954328/how-is-the-source-code-protected-from-being-tampered-with-in-a-blockchain
Doc149,0,0.5,0,0.41,0,0,0.06,0,0,0.04,1,https://stackoverflow.com/questions/52927338/compilation-failed-internal-compiler-error-stack-too-deep-try-using-fewer-vari
Doc150,0,0.08,0,0,0.57,0,0,0,0,0.35,4,https://stackoverflow.com/questions/52923855/certificate-authority-in-hyperledger-fabric-and-hyperledger-sawtooth
Doc151,0,0,0,0,0,0.34,0,0.01,0,0.64,9,https://stackoverflow.com/questions/52923078/in-blockchain-every-node-have-the-separate-copy-of-blocks-data-if-my-machine-no
Doc152,0,0,0,0,0,0.22,0,0.42,0,0.35,7,https://stackoverflow.com/questions/52923023/large-user-data-and-request-handling-in-corda
Doc153,0,0.11,0,0,0.13,0,0,0.57,0,0.18,7,https://stackoverflow.com/questions/52917849/error-5-not-found-resource-not-found-resource-blockchain-transactions
Doc154,0.07,0,0,0,0,0,0.2,0,0.21,0.52,9,https://stackoverflow.com/questions/52916121/is-it-better-practice-for-a-react-dapp-to-a-call-a-smart-contract-using-drizzle
Doc155,0,0,0,0,0,0,0.15,0,0.67,0.16,8,https://stackoverflow.com/questions/52903827/does-metamask-is-necessary-for-dapp
Doc156,0,0,0,0.71,0,0,0.29,0,0,0,3,https://stackoverflow.com/questions/52902755/how-can-i-retrieve-the-data-from-ethereum-blockchain
Doc157,0,0,0,0,0,0.49,0.49,0,0,0,5,https://stackoverflow.com/questions/52899987/state-entries-total-count-in-ethereum
Doc158,0,0.45,0,0,0,0,0,0.36,0,0.19,1,https://stackoverflow.com/questions/52896519/sawtooth-query-transaction-by-address
Doc159,0,0.03,0,0,0,0.52,0,0,0,0.45,5,https://stackoverflow.com/questions/52896276/how-can-merkle-trees-help-validate-the-content-of-a-block-in-a-blockchain
Doc160,0.14,0,0,0,0,0,0,0.22,0.63,0,8,https://stackoverflow.com/questions/52895048/how-to-set-up-a-local-test-environment-for-steem
Doc161,0.13,0,0,0,0,0,0.33,0,0.34,0.2,8,https://stackoverflow.com/questions/52878826/blockchain-dapp-how-end-user-use-dapp-without-care-of-ethereum-account
Doc162,0.22,0.36,0,0.23,0,0,0,0.18,0,0,1,https://stackoverflow.com/questions/52877144/javascript-then-not-working-as-expected-in-ripple-lib-calls
Doc163,0.33,0,0,0.43,0,0,0.16,0.07,0,0,3,https://stackoverflow.com/questions/52874558/waiting-for-a-transaction-to-complete-to-execute-in-node-js-solidity
Doc164,0.46,0,0,0.04,0.28,0.21,0,0,0,0,0,https://stackoverflow.com/questions/52871871/bitcoin-compile-undefined-reference-to-blockassemblerblockassemblercchainp
Doc165,0,0.62,0,0,0,0.07,0.29,0,0,0,1,https://stackoverflow.com/questions/52867120/how-to-get-ethereum-internal-transaction-list-contract-transaction-list-by-rpc
Doc166,0.52,0,0,0.21,0,0,0.27,0,0,0,0,https://stackoverflow.com/questions/52864060/having-a-problem-testing-my-solidity-smart-contract-w-truffle
Doc167,0.08,0,0,0.36,0,0,0.55,0,0,0,6,https://stackoverflow.com/questions/52864053/web3js-return-smart-contract-address-immediately-after-deployment
Doc168,0.72,0,0,0,0.18,0,0,0.09,0,0,0,https://stackoverflow.com/questions/52848514/not-able-to-view-event-emitted-from-hyperledger-composer-in-th-ui
Doc169,0,0.03,0,0,0,0.95,0,0,0,0,5,https://stackoverflow.com/questions/52792081/finding-nonce-such-that-sha1-hash-starts-with-four-zeroes
Doc170,0,0,0.96,0,0.04,0,0,0,0,0,2,https://stackoverflow.com/questions/52790240/while-deploying-the-hyperledger-composer-into-fabric-for-multiple-organization-w
Doc171,0,0.22,0,0,0,0,0.24,0,0.44,0.1,8,https://stackoverflow.com/questions/52782858/smart-contract-solidity-auction-when-bidders-abstracted-from-their-wallets
Doc172,0,0,0.3,0,0.69,0,0,0,0,0,4,https://stackoverflow.com/questions/52775634/error-while-instantiating-a-chaincode-on-hyperledger-fabric-using-kubernetes
Doc173,0,0,0,0.64,0,0,0.3,0,0.05,0,3,https://stackoverflow.com/questions/52782475/solidity-contract-state-variable-value-show-strange-when-invoke-from-external-co
Doc174,0,0.1,0.11,0,0,0,0,0.07,0,0.71,9,https://stackoverflow.com/questions/52764631/corda-node-vs-party-clarification
Doc175,0,0,0.05,0,0.1,0,0,0,0,0.84,9,https://stackoverflow.com/questions/52765661/privacy-issues-in-hyperleger-fabric
Doc176,0,0,0,0,0,0.88,0,0,0.09,0.02,5,https://stackoverflow.com/questions/52758546/nonce-in-ethereum-mining
Doc177,0,0,0.07,0,0.78,0.03,0,0,0,0.12,4,https://stackoverflow.com/questions/52757154/composer-chaincode-containers-lifecycle
