,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc103,0.23,0.02,0,0,0.59,0.08,0,0.02,0.06,0,4,https://stackoverflow.com/questions/70143537/<web3>-provider-not-set-or-invalid
Doc104,0,0,0,0.82,0,0,0,0.18,0,0,3,https://stackoverflow.com/questions/70142958/why-cant-i-send-1-ether-to-another-account-via-smartcontract
Doc105,0,0.42,0.04,0,0.2,0.13,0.09,0,0,0.12,1,https://stackoverflow.com/questions/70142105/why-do-i-get-sealing-paused-while-waiting-for-<transactions>-error-when-mining-i
Doc106,0,0.08,0,0,0,0,0.56,0.27,0,0.09,6,https://stackoverflow.com/questions/70138414/which-is-the-cheapest-way-to-store-a-140-chars-string-in-the-<blockchain>
Doc107,0,0.3,0,0,0,0.69,0,0,0,0,5,https://stackoverflow.com/questions/70138221/proper-way-to-initialize-pdas-within-the-solana-anchor-framework
Doc108,0.56,0.29,0,0,0.15,0,0,0,0,0,0,https://stackoverflow.com/questions/70136668/unauthorized-error-when-running-npx-hardhat-test-network-local-or-npx-hardhat
Doc109,0.01,0.34,0,0,0.41,0.23,0,0,0,0,4,https://stackoverflow.com/questions/70133769/disconnect-dapp-from-metamask
Doc110,0,0.09,0,0,0.61,0.11,0,0,0,0.18,4,https://stackoverflow.com/questions/70130220/how-to-get-all-transaction-from-an-address-via-the-etherscan-api-in-r
Doc111,0.44,0,0,0,0,0,0.25,0.3,0,0,0,https://stackoverflow.com/questions/70127539/use-of-address-function-inside-a-contract-constructor
Doc112,0.11,0.44,0,0,0.04,0,0.39,0,0.02,0,1,https://stackoverflow.com/questions/70126169/should-i-use-the-pallet-membership-to-handle-dapp-user-membership-differences
Doc113,0.02,0.46,0.09,0,0,0,0.43,0,0,0,1,https://stackoverflow.com/questions/70124965/<blockchain>-substrate-pallet-membership-use-cases
Doc114,0,0,0.07,0,0.49,0,0.3,0,0.09,0.05,4,https://stackoverflow.com/questions/70124838/opensea-not-generating-preview-for-3d-model-glb
Doc115,0,0.9,0.08,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/70124739/what-are-the-steps-to-build-a-production-based-hf-<blockchain>-network
Doc116,0.17,0.05,0,0,0.05,0,0.74,0,0,0,6,https://stackoverflow.com/questions/70124293/does-deploy-a-contract-mean-create-a-new-block-in-<blockchain>
Doc117,0,0.11,0,0,0.02,0,0.62,0,0,0.24,6,https://stackoverflow.com/questions/70124107/does-each-transaction-take-more-than-a-few-minutes-to-finish-in-<blockchain>
Doc118,0,0,0,0.31,0.29,0,0.34,0.04,0,0,6,https://stackoverflow.com/questions/70123833/how-to-fetch-raw-data-from-binance-smart-chain-txs-for-specific-address
Doc119,0,0,0,0,0,0,0.24,0.75,0,0,7,https://stackoverflow.com/questions/70120227/how-to-update-the-value-of-variable-of-struct-with-mapping-in-solidity
Doc120,0.37,0,0,0,0.14,0,0.48,0,0,0,6,https://stackoverflow.com/questions/70117341/how-to-get-informative-data-in-smart-contract-with-using-api-in-r
Doc121,0.51,0,0,0,0,0,0.4,0,0,0.09,0,https://stackoverflow.com/questions/70116124/how-to-find-smart-contract-adress-and-hash-code-in-etherscan
Doc122,0,0,0,0.45,0.38,0.01,0,0.11,0,0.05,3,https://stackoverflow.com/questions/70112336/swapexactethfortokens-keeps-failing
Doc123,0.23,0,0,0.27,0,0,0.39,0,0,0.1,6,https://stackoverflow.com/questions/70103433/smart-contract-ethereum-how-to-recreate-same-contract-after-used-selfdestruct
Doc124,0,0,0,0,0,0,0.3,0,0,0.7,9,https://stackoverflow.com/questions/70102701/can-i-use-the-block-height-to-measure-the-passage-of-a-year-based-on-the-average
Doc125,0,0,0,0,0.25,0,0.22,0.32,0,0.2,7,https://stackoverflow.com/questions/70100377/bit-operators-and-gas-saving-on-solidity
Doc126,0.24,0,0,0,0,0,0.75,0,0,0,6,https://stackoverflow.com/questions/70100282/are-there-any-costs-to-create-smart-contracts-in-solidity
Doc127,0.25,0.2,0,0,0.19,0,0,0,0.37,0,8,https://stackoverflow.com/questions/70098080/trying-to-run-brownie-run-scripts-deploy-py-network-rinkeby-but-getting-a
Doc128,0,0.58,0,0,0,0.41,0,0,0,0,1,https://stackoverflow.com/questions/70075532/is-there-any-doc-on-how-accounts-are-generated-in-substrate
Doc129,0,0.36,0,0,0,0,0.54,0.09,0,0,6,https://stackoverflow.com/questions/70060701/can-i-create-a-same-pair-in-different-dexes
Doc130,0,0,0,0,0.1,0.9,0,0,0,0,5,https://stackoverflow.com/questions/70056395/tronweb-authentication
Doc131,0,0.15,0,0.29,0,0,0.56,0,0,0,6,https://stackoverflow.com/questions/70053205/how-to-get-price-information-from-chainlink
Doc132,0.53,0.04,0,0,0,0,0.32,0,0,0.1,0,https://stackoverflow.com/questions/70052810/how-to-see-contract-execution-time-in-remix-ide
Doc133,0.35,0,0,0,0,0,0,0.52,0.05,0.07,7,https://stackoverflow.com/questions/70052775/how-to-resolve-the-error-invalid-type-for-argument-in-function-call-invalid-im
Doc134,0.45,0,0,0.13,0.04,0,0.24,0,0.14,0,0,https://stackoverflow.com/questions/70049614/solidity-erc1155-nft-minting-gas-estimation-failed-execution-reverted
Doc135,0.49,0,0,0,0,0,0.1,0.41,0,0,0,https://stackoverflow.com/questions/70047718/problem-with-the-approve-function-of-erc20-token-contract
Doc136,0.31,0,0,0,0,0,0.34,0.2,0.07,0.08,6,https://stackoverflow.com/questions/70043796/can-i-import-nfts-metadata-into-a-smart-contract
Doc137,0,0,0,0.09,0,0,0.9,0,0,0,6,https://stackoverflow.com/questions/70042810/create-a-simple-randomness-feature-in-solidity
Doc138,0.11,0,0,0.26,0.14,0.05,0,0.44,0,0,7,https://stackoverflow.com/questions/70036366/how-to-transfer-erc1155-token-using-<web3>js
Doc139,0.16,0,0,0.23,0,0.06,0.21,0.33,0,0,7,https://stackoverflow.com/questions/70030442/solidity-struct-and-staking-code-error-please-look-into-the-contract
Doc140,0.34,0,0,0,0.1,0.28,0,0.06,0.22,0,0,https://stackoverflow.com/questions/70030046/error-expected-private-key-to-be-an-uint8array-with-length-32
Doc141,0.14,0.3,0,0,0,0,0,0,0.55,0,8,https://stackoverflow.com/questions/70029529/solana-node-modules-toruslabs-eccrypto-index-js-return-outside-of-functio
Doc142,0,0.27,0,0,0.23,0.46,0.02,0.02,0,0,5,https://stackoverflow.com/questions/70028880/i-would-like-to-get-all-<transactions>-given-an-address
Doc143,0,0,0,0,0,0.52,0.47,0,0,0,5,https://stackoverflow.com/questions/70025490/can-a-server-impersonate-an-user-account-on-ethereum-<blockchain>
Doc144,0,0,0,0,0,0.93,0,0.06,0,0,5,https://stackoverflow.com/questions/70024541/solana-how-to-send-a-nft-spl-token-to-another-wallet-using-javascript-wallets
Doc145,0,0.49,0,0,0.07,0,0.43,0,0,0,1,https://stackoverflow.com/questions/70020863/bitcoin-daemon-consuming-too-much-internet-data
Doc146,0,0.36,0,0,0,0,0.5,0,0,0.14,6,https://stackoverflow.com/questions/70020224/is-it-possible-to-create-a-<blockchain>-with-probabilistic-finality-with-substrate
Doc147,0.2,0,0.67,0,0,0,0,0,0.12,0,2,https://stackoverflow.com/questions/70020186/unable-to-edit-org1mspanchors-tx-in-<hyperledger>-fabric
Doc148,0.18,0,0,0.41,0,0,0,0.41,0,0,3,https://stackoverflow.com/questions/70020005/member-transfer-not-found-or-not-visible
Doc149,0.64,0,0,0,0,0,0.18,0.09,0.09,0,0,https://stackoverflow.com/questions/70019983/what-is-difference-between-internal-and-private-in-solidity
Doc150,0,0,0.97,0,0,0,0.02,0,0,0,2,https://stackoverflow.com/questions/70019446/error-transaction-invalidated-with-status-endorsement-policy-failure
Doc151,0.08,0.05,0,0,0,0,0.06,0.61,0,0.2,7,https://stackoverflow.com/questions/70011797/return-nested-struct-inside-struct-in-solidity
Doc152,0,0,0,0.02,0.23,0,0.59,0,0,0.16,6,https://stackoverflow.com/questions/70011482/<web3>-getting-contract-<transactions>-history
Doc153,0.44,0,0,0,0,0,0,0.55,0,0,7,https://stackoverflow.com/questions/70011080/erc20-transfer-amount-exceeds-allowance-smart-contract-with-brownie-and-nft
Doc154,0,0.53,0,0,0.07,0,0.32,0.05,0,0.03,1,https://stackoverflow.com/questions/70011016/<blockchain>-testnet-tokens-where-do-they-come-from-and-are-they-unlimited
Doc155,0,0.17,0,0,0.62,0.19,0,0,0.02,0,4,https://stackoverflow.com/questions/70002417/bsc-testnet-how-can-i-get-api-key-from-bsc-testnet
Doc156,0,0,1,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/69985755/api-problem-for-separating-orderers-in-separate-organizations
Doc157,0,0.92,0,0,0,0,0,0,0.03,0.03,1,https://stackoverflow.com/questions/69983801/can-we-add-more-than-one-validator-in-from-one-node-on-substrate
Doc158,0.24,0,0.08,0.66,0,0,0,0,0,0,3,https://stackoverflow.com/questions/69978659/chainlink-keeper-the-execution-failed-due-to-an-exception
Doc159,0,0,0,0,0.12,0,0.04,0,0.29,0.54,9,https://stackoverflow.com/questions/69967952/how-to-apply-javascript-promises-for-async-data-hashing
Doc160,0.13,0,0,0.14,0,0,0.24,0.48,0,0,7,https://stackoverflow.com/questions/69966409/how-to-use-erc777-as-a-pay-method
Doc161,0,0.34,0,0,0,0.54,0,0.12,0,0,5,https://stackoverflow.com/questions/69958777/how-can-i-freeze-masteredition-nft-token-account
Doc162,0,0,0,0,0,0.44,0.55,0,0,0,6,https://stackoverflow.com/questions/69957489/how-do-we-know-that-information-added-to-a-<blockchain>-is-true
Doc163,0,0.1,0,0.02,0,0,0.64,0,0.08,0.16,6,https://stackoverflow.com/questions/69954658/storing-data-and-image-on-ethereum-network
Doc164,0,0.1,0,0,0,0.89,0,0,0,0,5,https://stackoverflow.com/questions/69952298/generate-new-deposit-address-in-binance
Doc165,0,0.13,0,0.38,0,0.26,0.06,0,0.17,0,3,https://stackoverflow.com/questions/69951848/fetching-chainlinks-oracle-private-key
Doc166,0.33,0,0.09,0,0,0,0.24,0.33,0,0,0,https://stackoverflow.com/questions/69951682/near-example-workshop-exploring-assemblyscript-contracts-assembly-a-sample-proj
Doc167,0,0,0,0,0.71,0.2,0,0,0,0.09,4,https://stackoverflow.com/questions/69947747/tx-wait-with-ethers-js-never-resolves
Doc168,0,0,0,0,0.54,0,0.24,0,0,0.2,4,https://stackoverflow.com/questions/69945169/how-to-restart-<transactions>-and-block-stream-in-hive-<blockchain>
Doc169,0,0.07,0.54,0,0,0,0.3,0,0,0.08,2,https://stackoverflow.com/questions/69943675/examining-the-behaviour-of-<hyperledger>-fabric-when-one-of-the-statedb-is-tampere
Doc170,0,0,0,0,0.26,0,0.1,0.1,0.01,0.53,9,https://stackoverflow.com/questions/69942559/i-want-my-code-to-print-only-if-the-result-is-different-from-previous-result-and
Doc171,0,0,0,0,0.02,0,0.21,0,0.76,0,8,https://stackoverflow.com/questions/69941423/node-js-cant-find-module-inside-folder
Doc172,0.34,0,0,0,0.56,0,0,0.09,0,0,4,https://stackoverflow.com/questions/69935165/<web3>-<python>-how-can-i-decode-input-data
Doc173,0,0,0,0,0,0,0.64,0,0,0.35,6,https://stackoverflow.com/questions/69923552/how-do-<blockchain>s-find-invalid-blocks
Doc174,0,1,0,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/69921215/the-relation-between-using-std-and-no-std-attributes-and-including-wasm
Doc175,0.9,0,0,0,0.08,0,0,0,0.02,0,0,https://stackoverflow.com/questions/69915001/nodeassert400-throw-err-assertionerror-err-assertion-invalid-callback-ob
