,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic,Title_link
Doc29,0.61,0,0,0,0,0,0.2,0.18,0,0,0,https://stackoverflow.com/questions/56081117/how-do-you-convert-between-substrate-specific-types-and-rust-primitive-types
Doc30,0,0,0.32,0.09,0,0,0.56,0.03,0,0,6,https://stackoverflow.com/questions/48180941/how-to-send-an-erc20-token-with-web3js
Doc31,0.29,0.06,0,0.03,0,0.04,0,0.09,0,0.49,9,https://stackoverflow.com/questions/47670984/how-does-coffee-with-blockchain-match-growers-to-buyers
Doc32,0,0.43,0,0.15,0.12,0.29,0.02,0,0,0,1,https://stackoverflow.com/questions/45510741/how-to-watch-for-the-bitcoin-transactions-over-blockchain-via-nodejs
Doc33,0,0,0.13,0.21,0,0.66,0,0,0,0,5,https://stackoverflow.com/questions/48077773/ethereum-solidity-does-require-use-any-gas
Doc34,0.76,0,0,0.13,0.11,0,0,0,0,0,0,https://stackoverflow.com/questions/66866817/is-there-any-way-to-initiate-a-disconnect-request-to-the-metamask-wallet
Doc35,0.6,0,0,0,0.32,0,0,0,0.07,0,0,https://stackoverflow.com/questions/48533462/metamask-automation-with-selenium-webdriver
Doc36,0,0.87,0.12,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/45867254/how-to-extract-all-used-hash160-addresses-from-bitcoin-blockchain
Doc37,0,0.19,0,0,0,0.1,0,0,0.04,0.66,9,https://stackoverflow.com/questions/36844827/are-blocks-mined-in-hyperledger-fabric
Doc38,0.02,0,0,0,0.02,0,0,0,0.96,0,8,https://stackoverflow.com/questions/43830372/error-manifest-for-hyperledger-fabric-ordererlatest-not-found
Doc39,0,0.42,0,0,0,0.01,0,0.02,0,0.54,9,https://stackoverflow.com/questions/38558703/is-blockchain-a-decentralised-database
Doc40,0.18,0,0,0.38,0.27,0,0,0,0,0.16,3,https://stackoverflow.com/questions/55154713/error-the-method-eth-sendtransaction-does-not-exist-is-not-available
Doc41,0.03,0,0,0,0,0,0,0,0.67,0.3,8,https://stackoverflow.com/questions/51377474/hyperledger-fabric-gossip-bootstrap-gossip-externalendpoints
Doc42,0,0,0,0,0,0,0,0,0,1,9,https://stackoverflow.com/questions/46147221/hyperledger-sawtooth-lake-intel-only-or-not
Doc43,0.03,0.1,0.02,0.29,0.04,0.16,0.27,0.04,0,0.05,3,https://stackoverflow.com/questions/59082832/how-to-sign-bitcoin-psbt-with-ledger
Doc44,0,0,0,0.31,0.68,0,0,0,0,0,4,https://stackoverflow.com/questions/68070253/error-truffle-is-currently-using-solc-0-5-16-but-one-or-more-of-your-contracts
Doc45,0,0,0,0.06,0.93,0,0,0,0,0,4,https://stackoverflow.com/questions/69659558/error-hh604-error-running-json-rpc-server-error0308010cdigital-envelope-rout
Doc46,0,0,0,0,0,0,0,0,0.15,0.85,9,https://stackoverflow.com/questions/49933422/hyperledger-fabric-scalability
Doc47,0,0.54,0,0.13,0.03,0.21,0.03,0.04,0,0,1,https://stackoverflow.com/questions/65995186/how-can-i-find-out-the-number-of-times-an-rsk-transaction-has-been-confirmed-on
Doc48,0.27,0,0,0,0.73,0,0,0,0,0,4,https://stackoverflow.com/questions/66583720/some-error-failed-to-run-custom-build-command-for-librocksdb-sys-v6-11-4
Doc49,0,0.81,0.01,0,0,0,0.03,0,0,0.14,1,https://stackoverflow.com/questions/63391758/where-actual-blockchain-state-data-stored-in-memory-in-file-or-in-database
Doc50,0,0.57,0,0,0,0.04,0,0,0,0.39,1,https://stackoverflow.com/questions/38879610/difference-between-ipfs-and-filecoin
Doc51,0,0.31,0,0,0,0.06,0,0.37,0.03,0.22,7,https://stackoverflow.com/questions/31816695/ethereum-genesis-block-private-network
Doc52,0,0.07,0,0.1,0.83,0,0,0,0,0,4,https://stackoverflow.com/questions/69785119/metamask-not-connecting-to-localhost-8545
Doc53,0.65,0,0.22,0.08,0.04,0,0,0,0,0,0,https://stackoverflow.com/questions/69248618/how-to-get-proper-public-address-from-mnemonic-phrase-for-solana
Doc54,0.24,0,0.09,0.58,0.08,0,0,0,0,0,3,https://stackoverflow.com/questions/61973747/how-to-send-an-array-of-structs-from-web3js-to-solidity-contract
Doc55,0,0,0,0.47,0.39,0,0.14,0,0,0,3,https://stackoverflow.com/questions/70961190/property-ethereum-does-not-exist-on-type-window-typeof-globalthis-error
Doc56,0.23,0,0.06,0.71,0,0,0,0,0,0,3,https://stackoverflow.com/questions/70019983/what-is-difference-between-internal-and-private-in-solidity
Doc57,0.17,0,0,0.03,0.77,0,0.02,0,0,0,4,https://stackoverflow.com/questions/68849313/i-can-not-deploy-the-program-to-dev-net-with-anchor
Doc58,0.03,0,0,0.36,0.44,0,0.18,0,0,0,4,https://stackoverflow.com/questions/53408632/code-not-compiling-in-nodejs-throws-out-an-unexpected-errorweb3-js
Doc59,0.23,0.35,0.08,0.12,0,0,0,0.04,0,0.18,1,https://stackoverflow.com/questions/52467248/how-can-we-generate-multiple-random-number-in-ethereum
Doc60,0.09,0.13,0.15,0,0,0,0,0.64,0,0,7,https://stackoverflow.com/questions/51847788/msg-sender-does-not-work-inside-a-view-function-why-is-there-a-workaround
Doc61,0.1,0,0.07,0.36,0,0.31,0,0.17,0,0,3,https://stackoverflow.com/questions/57580702/how-to-call-a-smart-contract-function-using-python-and-web3-py
Doc62,0.7,0.13,0,0,0,0,0,0.17,0,0,0,https://stackoverflow.com/questions/69382867/how-do-i-get-list-of-tokens-owned-by-me
Doc63,0.39,0,0,0.04,0.39,0,0.01,0,0,0.17,0,https://stackoverflow.com/questions/37255174/can-i-create-a-local-blockchain-with-ruby-on-rails-or-node-js-instead-of-ethereu
Doc64,0,0.31,0,0,0.16,0,0.02,0,0.07,0.44,9,https://stackoverflow.com/questions/38880475/decentralized-chat-application-using-ipfs
Doc65,0.08,0,0,0.07,0.42,0,0,0,0.32,0.11,4,https://stackoverflow.com/questions/38462464/adding-attributes-to-ibm-bluemix-blockchain-camembersrvc-yaml
Doc66,0,0.46,0,0.04,0.37,0,0,0,0,0.13,1,https://stackoverflow.com/questions/50505934/data-on-private-ethereum-blockchain-lost-disappears-after-couple-of-days
Doc67,0.05,0.04,0,0,0.82,0,0.08,0.02,0,0,4,https://stackoverflow.com/questions/66758210/failed-to-run-custom-build-command-for-ring-v0-16-12
Doc68,0,0.21,0,0,0.34,0,0,0,0.19,0.26,4,https://stackoverflow.com/questions/33272364/simulate-private-bitcoin-network-with-random-peer-discovery
Doc69,0,0.13,0,0,0.86,0,0,0,0,0,4,https://stackoverflow.com/questions/69818605/brownie-doesnt-automatically-attach-to-local-ganache-when-i-have-ganache-open-i
Doc70,0.03,0.09,0,0.05,0.14,0.03,0,0,0,0.66,9,https://stackoverflow.com/questions/42857515/what-is-blockchain-and-ethereum-where-is-it-used
Doc71,0.15,0,0.62,0.04,0,0,0.14,0.06,0,0,2,https://stackoverflow.com/questions/61710746/what-is-the-difference-between-pure-and-view-modifiers-in-solidity
Doc72,0.07,0,0.24,0,0,0,0.01,0.68,0,0,7,https://stackoverflow.com/questions/67317392/how-to-transfer-a-nft-from-one-account-to-another-using-erc721
Doc73,0,0.06,0,0.11,0.51,0,0,0,0,0.32,4,https://stackoverflow.com/questions/57505032/difference-of-geth-or-ganache
Doc74,0.21,0.53,0.07,0.05,0.03,0.06,0,0,0,0.06,1,https://stackoverflow.com/questions/52994467/is-it-possible-to-store-images-on-the-ethereum-blockchain
Doc75,0.02,0.36,0,0,0,0,0,0,0,0.62,9,https://stackoverflow.com/questions/48418461/can-blockchain-be-stored-in-sql-or-even-nosql-database
Doc76,0,0.37,0.07,0.21,0.05,0,0,0,0,0.29,1,https://stackoverflow.com/questions/62920079/does-solidity-have-http-request-function
Doc77,0.73,0.02,0,0.04,0.09,0,0,0,0,0.12,0,https://stackoverflow.com/questions/59165184/could-we-consider-non-plugins-web-based-crypto-wallets-as-safe
Doc78,0,0,0.45,0,0.38,0,0,0,0,0.17,2,https://stackoverflow.com/questions/70905645/parsererror-source-file-requires-different-compiler-version-current-compiler-i
Doc79,0,0.25,0,0.03,0,0.03,0.03,0,0.4,0.24,8,https://stackoverflow.com/questions/37607263/what-happened-exactly-on-chaincode-deploy-and-invoke-query-in-hyperledger
Doc80,0,0.64,0,0,0,0,0,0,0,0.36,1,https://stackoverflow.com/questions/50401957/best-practice-to-save-files-in-blockchain
Doc81,0.43,0,0.46,0,0,0,0,0.1,0,0,2,https://stackoverflow.com/questions/69678736/how-to-concat-two-string-values-in-solidity
Doc82,0,0.93,0,0.03,0,0,0,0,0,0.03,1,https://stackoverflow.com/questions/70102701/can-i-use-the-block-height-to-measure-the-passage-of-a-year-based-on-the-average
Doc83,0.58,0,0,0.11,0,0.2,0,0.11,0,0,0,https://stackoverflow.com/questions/68645162/what-is-the-solana-pattern-for-creating-a-transfer-account-the-program-can-use-t
Doc84,0,0.04,0,0,0,0.01,0,0,0,0.95,9,https://stackoverflow.com/questions/48494591/private-blockchains-vs-hashgraph-ripple-bigchaindb
Doc85,0,0,0,0,0,0,0.63,0,0,0.36,6,https://stackoverflow.com/questions/45008607/how-to-query-ledger-and-historic-data-in-hyper-ledger-fabric
Doc86,0,0.12,0,0,0,0,0,0,0.78,0.09,8,https://stackoverflow.com/questions/41656547/where-does-hyperledger-fabric-store-the-database-for-the-blockchain
Doc87,0.02,0.06,0,0,0,0,0,0,0.2,0.72,9,https://stackoverflow.com/questions/57374645/how-to-secure-hyperledger-fabric-state-database
Doc88,0.08,0,0,0,0.44,0,0.02,0,0.45,0,8,https://stackoverflow.com/questions/59919240/hyperledger-fabric-2-0-beta-javascript-dev-mode
Doc89,0.09,0.1,0.26,0.1,0,0,0.09,0.36,0,0,7,https://stackoverflow.com/questions/48228662/get-token-balance-with-ethereum-rpc
Doc90,0,0,0,0,0.02,0,0,0,0,0.97,9,https://stackoverflow.com/questions/58889992/key-differences-between-hyperledger-aries-and-hyperledger-indy
Doc91,0,0,0.19,0,0,0,0,0.81,0,0,7,https://stackoverflow.com/questions/68545930/how-to-withdraw-all-tokens-from-the-my-contract-in-solidity
Doc92,0.23,0,0,0,0.02,0.06,0,0.64,0,0.06,7,https://stackoverflow.com/questions/56418100/what-is-the-difference-between-free-balance-reserved-balance-locked-balance-v
Doc93,0.49,0,0,0,0,0.21,0.02,0.11,0,0.17,0,https://stackoverflow.com/questions/59579424/how-to-re-use-a-substrate-pallet-multiple-times-within-the-same-runtime
Doc94,0.06,0,0,0,0,0,0,0,0.58,0.36,8,https://stackoverflow.com/questions/59146609/hyperledger-fabric-blockchain-network-from-scratch
Doc95,0,0,0,0,0.61,0,0,0.37,0,0,4,https://stackoverflow.com/questions/71167338/solana-airdrop-error-need-help-to-fix-my-problem
Doc96,0.24,0.52,0,0.14,0.02,0.05,0,0,0,0.03,1,https://stackoverflow.com/questions/50966458/can-we-get-transaction-information-recorded-in-the-past-block-using-solidity-in
Doc97,0,0.35,0,0,0.03,0,0,0,0.61,0,8,https://stackoverflow.com/questions/43330569/hyperledger-fabric-with-docker-not-storing-data-after-restart
Doc98,0.13,0.12,0,0.08,0.63,0,0,0.04,0,0,4,https://stackoverflow.com/questions/70437644/error-custom-invalid-blockhash-when-solana-program-deploy
Doc99,0,0.66,0,0.09,0,0.21,0,0,0.02,0.01,1,https://stackoverflow.com/questions/65830983/how-sending-transactions-and-receiving-events-work-in-backends-in-ethereum-block
Doc100,0.21,0,0,0,0.16,0,0.01,0,0,0.61,9,https://stackoverflow.com/questions/72537305/cartesi-rollups-dapp-modularity
Doc101,0,0.05,0,0.42,0.15,0.03,0.16,0.19,0,0,3,https://stackoverflow.com/questions/70405024/metamask-rpc-error-cannot-set-properties-of-undefined-setting-loadingdefaul
Doc102,0.96,0,0,0.03,0,0,0,0,0,0,0,https://stackoverflow.com/questions/70138221/proper-way-to-initialize-pdas-within-the-solana-anchor-framework
Doc103,0.14,0,0,0.1,0,0,0.12,0,0.21,0.43,9,https://stackoverflow.com/questions/51782788/get-chaincode-caller-id-from-the-function-invokechaincode-in-hyperledger-fabri
Doc104,0,0.5,0,0.04,0.23,0,0.11,0,0.12,0,1,https://stackoverflow.com/questions/70124838/opensea-not-generating-preview-for-3d-model-glb
Doc105,0,0,0,0,0,0,0,0,0.09,0.91,9,https://stackoverflow.com/questions/49029311/what-is-the-use-of-ethereums-rlpx-and-how-do-they-use-it-in-ethereum-ecosystem
Doc106,0,0.33,0,0,0,0,0.24,0,0.09,0.33,1,https://stackoverflow.com/questions/52436847/block-size-and-transaction-per-block-in-hyperledger-fabric
Doc107,0.46,0,0,0.27,0.07,0.04,0,0.16,0,0,0,https://stackoverflow.com/questions/69523948/solana-how-to-get-the-balance-from-my-phantom-wallet
Doc108,0,0.12,0,0.05,0.09,0.49,0,0.24,0,0,5,https://stackoverflow.com/questions/51333536/gas-required-exceeds-allowance-or-always-failing-transaction-on-geth-private-blo
Doc109,0,0,0,0,0.8,0,0,0,0.19,0,4,https://stackoverflow.com/questions/43626320/ltdl-h-not-found-error-while-building-chaincode
Doc110,0,0,0.02,0.4,0.57,0,0,0,0,0,4,https://stackoverflow.com/questions/53976057/source-file-requires-different-compiler-version-truffle
Doc111,0,0,0,0.3,0.69,0,0,0,0,0,4,https://stackoverflow.com/questions/48167811/network-up-to-date-on-truffle-deploy
Doc112,0,0.46,0,0,0,0,0,0,0,0.53,9,https://stackoverflow.com/questions/48047889/is-blockchain-a-distributed-database
Doc113,0.03,0,0,0,0,0,0,0,0.71,0.25,8,https://stackoverflow.com/questions/50677021/what-is-diffrence-between-enrolling-and-registering-a-certificate-in-hyperledger
Doc114,0.06,0.53,0.02,0,0.06,0,0.28,0.02,0,0.04,1,https://stackoverflow.com/questions/45385707/how-to-efficiently-hash-sha-256-in-golang-data-where-only-the-last-few-bytes-c
Doc115,0,0,0.05,0.78,0,0.05,0,0,0,0.12,3,https://stackoverflow.com/questions/42926772/what-is-the-difference-between-creating-a-new-solidity-contract-with-and-without
Doc116,0,0.31,0,0,0,0,0.03,0,0,0.66,9,https://stackoverflow.com/questions/53152348/data-storage-within-hyperledger
Doc117,0,0.16,0,0.12,0.23,0.5,0,0,0,0,5,https://stackoverflow.com/questions/49318479/how-to-make-sure-transactions-take-0-fee-in-a-private-ethereum-blockchain
Doc118,0.38,0,0.12,0.28,0,0.04,0.07,0.11,0,0,0,https://stackoverflow.com/questions/71775742/call-solidity-function-dynamically-based-on-its-bytes4-function-selector
Doc119,0,0.02,0,0,0,0.09,0,0,0.06,0.83,9,https://stackoverflow.com/questions/50066691/consensus-of-hyperledger-fabric
Doc120,0.33,0.15,0,0,0.31,0.03,0.07,0.06,0,0.05,0,https://stackoverflow.com/questions/56699795/what-order-is-on-initialize-invoked-across-different-modules-in-a-substrate-ru
Doc121,0.61,0.12,0.03,0.17,0,0,0.06,0,0,0,0,https://stackoverflow.com/questions/65529667/get-keys-of-solidity-mapping
Doc122,0.81,0,0,0,0,0.17,0.02,0,0,0,0,https://stackoverflow.com/questions/64121667/how-to-get-a-public-key-from-private-key-and-or-account-id-in-near-protocol
Doc123,0.42,0,0.07,0,0,0,0.12,0.03,0,0.35,0,https://stackoverflow.com/questions/56563909/how-to-do-floating-point-arithmetic-in-substrate-runtime
Doc124,0,0,0,0,0,0,0,0,1,0,8,https://stackoverflow.com/questions/52548185/how-to-fix-failed-to-execute-end-2-end-scenario-in-hyperledger-fabric
Doc125,0,0.21,0,0,0,0.17,0.17,0,0,0.45,9,https://stackoverflow.com/questions/47387485/in-corda-what-data-is-sent-to-a-non-validating-notary-service
Doc126,0.11,0.46,0,0.15,0.02,0,0.25,0.01,0,0,1,https://stackoverflow.com/questions/69005840/how-to-get-over-the-limit-of-opensea-api
Doc127,0.1,0.1,0,0,0,0,0,0,0.31,0.48,9,https://stackoverflow.com/questions/54697330/using-hyperledger-fabric-with-c-application
Doc128,0,0,0,0,0,0,0,0,0.44,0.56,9,https://stackoverflow.com/questions/52207260/how-do-the-different-msp-roles-member-admin-peer-client-affect-hyperledger
Doc129,0,0,0.15,0.39,0,0.27,0,0.19,0,0,3,https://stackoverflow.com/questions/52139936/why-we-cant-send-ether-to-ethereum-address-0x1-via-smart-contracts
Doc130,0,0.6,0,0,0,0.11,0,0,0,0.29,1,https://stackoverflow.com/questions/51317370/do-blockchains-contain-a-websocket-server
Doc131,0.02,0.37,0,0,0.16,0.34,0.03,0,0.02,0.06,1,https://stackoverflow.com/questions/64772897/offchain-workers-signed-transactions
Doc132,0.14,0.49,0.03,0.22,0,0,0.11,0.02,0,0,1,https://stackoverflow.com/questions/59555819/how-to-trace-history-of-ethereum-state-varaibles
Doc133,0,0.25,0,0,0,0.44,0,0.31,0,0,5,https://stackoverflow.com/questions/52071967/ethereum-two-identical-transactions-but-different-actual-gas-use-how-come
Doc134,0,0.16,0,0,0.15,0.03,0.43,0.23,0,0,6,https://stackoverflow.com/questions/46569944/python-socketio-example-to-connect-to-cryptocompare
Doc135,0,0.11,0,0.21,0,0.5,0.13,0,0,0.05,5,https://stackoverflow.com/questions/44763816/send-raw-transaction-ethereum-infura-nodejs-npm
Doc136,0,0.15,0,0.1,0.6,0.15,0,0,0,0,4,https://stackoverflow.com/questions/67395981/bsc-testnet-truffle-migrate-etimedout
Doc137,0,0,0,0.04,0.11,0.03,0,0,0.06,0.76,9,https://stackoverflow.com/questions/59298399/qldb-high-latency-of-5000ms
Doc138,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/58572297/npm-unable-to-install-scrypt-node-gyp-rebuild
Doc139,0,0,0,0,0.5,0,0,0,0.49,0,4,https://stackoverflow.com/questions/45352547/hyperledger-get-bin-bash-scripts-script-sh-no-such-file-or-directory-whe
Doc140,0,0.38,0,0,0,0,0,0,0,0.61,9,https://stackoverflow.com/questions/43672398/how-blockchain-is-different-from-hdfs-and-how-bitcoin-mining-is-different-from-m
Doc141,0,0.07,0,0,0,0,0,0.02,0.91,0,8,https://stackoverflow.com/questions/54195016/in-hyperledger-fabric-how-do-i-join-a-channel-if-i-cannot-use-the-peer-channel
Doc142,0,0,0,0.11,0.53,0,0.11,0,0,0.24,4,https://stackoverflow.com/questions/56537928/go-compile-returns-duplicate-symbols-for-architecture-x86-64-error-when-i-import
Doc143,0.24,0,0,0,0.71,0.02,0,0.03,0,0,4,https://stackoverflow.com/questions/73190427/how-to-connect-your-android-app-with-metamask
Doc144,0.91,0,0,0,0,0.08,0,0,0,0,0,https://stackoverflow.com/questions/70548393/how-to-use-origin-value-in-substrate-pallet
Doc145,0,0,0,0.67,0,0,0.16,0.17,0,0,3,https://stackoverflow.com/questions/69935165/web3-python-how-can-i-decode-input-data
Doc146,0,0,0,0.13,0.63,0,0.01,0,0.22,0,4,https://stackoverflow.com/questions/65160121/ethers-js-jsonrpcprovider-geth-node-in-a-docker-environment
Doc147,0.19,0,0.02,0.03,0.32,0.27,0,0.03,0,0.14,4,https://stackoverflow.com/questions/56961242/issues-during-implementation-of-custom-eth-settler
Doc148,0.08,0,0,0,0,0.71,0,0,0,0.2,5,https://stackoverflow.com/questions/51112823/is-it-possible-to-pay-transaction-fee-from-another-account-in-ethereum
Doc149,0,0,0,0,0.1,0,0,0,0.89,0,8,https://stackoverflow.com/questions/57635706/failed-to-create-new-connection-desc-transport-error-while-dialing-dial-tcp
Doc150,0,0.3,0,0,0.48,0,0,0.18,0.02,0,4,https://stackoverflow.com/questions/34055465/python-version-conflict-with-json-dumps
Doc151,0,0.06,0,0,0,0,0,0,0.76,0.18,8,https://stackoverflow.com/questions/46371470/how-to-add-a-new-peer-to-an-existing-hyperledger-fabric-network
Doc152,0.15,0.13,0.4,0.15,0,0,0,0,0,0.17,2,https://stackoverflow.com/questions/47622265/what-is-the-difference-between-an-internal-external-and-public-private-function
Doc153,0,0,0,0.37,0.17,0.38,0.08,0,0,0,5,https://stackoverflow.com/questions/68855027/nethereuem-sendtransactionasync-from-my-c-sharp-web-api-fails-with-transaction-t
Doc154,0.05,0.36,0,0.23,0,0,0.09,0.26,0,0,1,https://stackoverflow.com/questions/58940476/how-to-get-trc20-transactions-to-an-address
Doc155,0.07,0,0,0.22,0.7,0,0,0,0,0,4,https://stackoverflow.com/questions/72927795/error-could-not-detect-network-event-nonetwork-code-network-error-version
Doc156,0.15,0,0,0,0,0.05,0.04,0,0.25,0.5,9,https://stackoverflow.com/questions/51503153/best-practices-to-follow-while-writing-hyperledger-fabric-chaincode
Doc157,0,0,0,0,0,0,0,0,0.98,0.02,8,https://stackoverflow.com/questions/45610253/how-to-configure-multiple-anchor-peers
Doc158,0.18,0,0.09,0.59,0,0,0.13,0,0,0,3,https://stackoverflow.com/questions/71036736/how-to-fix-debug-errors-invalid-arrayify-value-when-deploying-a-solidity-con
Doc159,0,0,0.19,0.56,0,0,0,0.11,0,0.13,3,https://stackoverflow.com/questions/71005514/difference-between-interface-and-abstract-contract-in-solidity
Doc160,0,0.25,0,0,0,0,0.09,0.63,0.02,0,7,https://stackoverflow.com/questions/64703389/uniswap-how-to-read-token-price-with-api
Doc161,0,0.24,0.02,0.28,0,0.34,0.12,0,0,0,5,https://stackoverflow.com/questions/59837124/if-one-smart-contract-reads-data-from-another-smart-contract-does-it-costs-gas
Doc162,0,0.07,0,0,0.5,0,0,0,0.43,0,4,https://stackoverflow.com/questions/39286441/how-to-install-telnet-in-docker-for-windows-10
Doc163,0.71,0.05,0,0,0,0,0.24,0,0,0,0,https://stackoverflow.com/questions/68124332/i-notice-when-i-try-and-use-borsh-to-serialize-deserialize-ill-get-errors
Doc164,0.3,0,0,0,0.32,0.18,0,0,0,0.19,4,https://stackoverflow.com/questions/59340803/geth-option-allow-insecure-unlock-what-exactly-does-it-mean
Doc165,0.04,0,0,0,0.21,0,0,0,0.75,0,8,https://stackoverflow.com/questions/45817797/unable-to-find-custom-chaincode-path-hyperledger-fabricv1-0-local-network-runnin
Doc166,0.35,0,0,0,0,0,0.47,0,0.18,0,6,https://stackoverflow.com/questions/42520827/retrieving-hyperledger-complete-world-state
Doc167,0.18,0,0,0.11,0.4,0,0.3,0,0,0,4,https://stackoverflow.com/questions/69687394/borsh-serialization-fails-in-react-application
Doc168,0.04,0,0,0.28,0.02,0.39,0,0.28,0,0,5,https://stackoverflow.com/questions/49299114/web3j-transfer-sendfunds-returns-error-insufficient-funds-for-gas-price-v
Doc169,0.41,0,0,0.12,0.2,0.26,0,0,0,0,0,https://stackoverflow.com/questions/70579979/integrating-metamask-with-flutter-mobile-application
Doc170,0,0,0.05,0,0,0,0,0.79,0,0.17,7,https://stackoverflow.com/questions/67611716/why-does-the-minting-function-of-erc721-have-an-access-control
Doc171,0,0,0,0.38,0.24,0,0,0.38,0,0,3,https://stackoverflow.com/questions/67245415/how-to-change-account-in-truffleganache
Doc172,0.03,0.85,0,0,0.06,0,0,0.02,0,0.04,1,https://stackoverflow.com/questions/67006583/ipfs-and-editing-permissions
Doc173,0.34,0.38,0,0,0,0.08,0,0,0,0.19,1,https://stackoverflow.com/questions/44743899/does-each-dapp-has-its-own-blockchain
Doc174,0,0,0,0,0,0.11,0,0,0,0.89,9,https://stackoverflow.com/questions/41677588/limit-of-number-of-nodes-in-hyperledger
